age	education	marital-status	occupation	race	_row_id	income
27.5	47	4	104	0	677	<=50K
27.5	47	4	104	0	717	<=50K
27.5	47	4	104	0	1255	<=50K
27.5	47	4	104	0	1645	<=50K
27.5	47	4	104	0	1648	<=50K
27.5	47	4	104	0	1811	<=50K
27.5	47	4	104	0	1955	<=50K
27.5	47	4	104	0	2281	<=50K
27.5	47	4	104	0	2650	<=50K
27.5	47	4	104	0	3988	<=50K
27.5	47	4	104	0	4830	<=50K
27.5	47	4	104	0	5836	<=50K
27.5	47	4	104	0	6033	<=50K
27.5	47	4	104	0	6280	<=50K
27.5	47	4	104	0	7783	<=50K
27.5	47	4	104	0	8714	<=50K
27.5	47	4	104	0	9049	<=50K
27.5	47	4	104	0	9059	<=50K
27.5	47	4	104	0	9551	<=50K
27.5	47	4	104	0	9621	<=50K
27.5	47	4	104	0	10761	<=50K
27.5	47	4	104	0	11404	<=50K
27.5	47	4	104	0	11686	<=50K
27.5	47	4	104	0	11890	<=50K
27.5	47	4	104	0	12378	<=50K
27.5	47	4	104	0	12681	<=50K
27.5	47	4	104	0	12708	<=50K
27.5	47	4	104	0	12870	<=50K
27.5	47	4	104	0	13575	<=50K
27.5	47	4	104	0	14409	<=50K
27.5	47	4	104	0	14514	<=50K
27.5	47	4	104	0	14572	<=50K
27.5	47	4	104	0	14827	<=50K
27.5	47	4	104	0	16203	<=50K
27.5	47	4	104	0	16514	<=50K
27.5	47	4	104	0	16949	<=50K
27.5	47	4	104	0	17221	<=50K
27.5	47	4	104	0	17498	<=50K
27.5	47	4	104	0	19207	<=50K
27.5	47	4	104	0	19631	<=50K
27.5	47	4	104	0	19879	<=50K
27.5	47	4	104	0	20024	<=50K
27.5	47	4	104	0	20330	<=50K
27.5	47	4	104	0	20738	<=50K
27.5	47	4	104	0	20813	<=50K
27.5	47	4	104	0	21680	<=50K
27.5	47	4	104	0	21762	<=50K
27.5	47	4	104	0	22509	<=50K
27.5	47	4	104	0	23247	<=50K
27.5	47	4	104	0	23288	<=50K
27.5	47	4	104	0	24110	<=50K
27.5	47	4	104	0	24213	<=50K
27.5	47	4	104	0	24436	<=50K
27.5	47	4	104	0	25824	<=50K
27.5	47	4	104	0	26293	<=50K
27.5	47	4	104	0	26433	<=50K
27.5	47	4	104	0	26852	<=50K
27.5	47	4	104	0	26911	<=50K
27.5	47	4	104	0	27313	<=50K
27.5	47	4	104	0	28556	<=50K
27.5	47	4	104	0	28563	<=50K
27.5	47	4	104	0	28719	<=50K
27.5	47	4	104	0	28834	<=50K
27.5	47	4	104	0	28956	<=50K
27.5	47	4	104	0	29054	<=50K
27.5	47	4	104	0	29492	<=50K
27.5	47	4	104	0	29525	<=50K
27.5	47	4	104	0	30108	<=50K
27.5	47	4	104	0	30109	<=50K
27.5	47	4	104	0	30432	<=50K
27.5	47	4	104	0	30924	<=50K
27.5	47	4	104	0	31905	<=50K
27.5	47	4	104	0	32809	<=50K
27.5	47	4	104	0	32905	<=50K
27.5	47	4	104	0	33472	<=50K
27.5	47	4	104	0	34650	<=50K
27.5	47	4	104	0	34790	<=50K
27.5	47	4	104	0	35249	<=50K
27.5	47	4	104	0	35281	<=50K
27.5	47	4	104	0	35560	<=50K
27.5	47	4	104	0	36215	<=50K
27.5	47	4	104	0	36664	<=50K
27.5	47	4	104	0	37677	<=50K
27.5	47	4	104	0	37722	<=50K
