age	education	marital-status	occupation	race	_row_id	income
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	4740	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	8844	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	10610	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	14167	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	14488	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	17373	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	19474	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	20879	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	26655	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	28412	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	28430	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	28889	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	30966	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	31749	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	35511	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	38070	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	38192	<=50K
22-36	12th,Doctorate,Prof-school,9th,Masters	Divorced,Married-spouse-absent,Widowed	Sales,Tech-support,Machine-op-inspct,Exec-managerial,Adm-clerical,Other-service,Prof-specialty,?	Amer-Indian-Eskimo,Black,Asian-Pac-Islander	45079	>50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	7983	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	10039	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	12801	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	15543	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	16170	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	16507	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	17745	<=50K
