feature,importance
stress_depression_diff,0.3264479537366548
stress_anxiety_diff,0.1767048487544485
Age,0.13594372775800723
Semester_Credit_Load,0.1282055160142348
Course,0.11906628113879014
Mental_Severity_Score,0.09221730427046256
Relationship_Status,0.07814346085409245
Residence_Type,0.07184475088967968
Extracurricular_Involvement,0.05024844306049818
Diet_Quality,0.0493031583629893
Physical_Activity,0.048381227758007135
Sleep_Quality,0.03605560498220649
Counseling_Service_Use,0.029464635231316646
Gender,0.021219083629893207
CGPA,0.012749555160142317
