feature,importance
stress_depression_diff,0.48062411032028396
Mental_Severity_Score,0.2937702402135234
stress_anxiety_diff,0.2616850533807828
Course,0.07289034697508902
Age,0.03692993772241994
CGPA,0.03392193060498217
Semester_Credit_Load,0.03388523131672596
Relationship_Status,0.031391236654804255
Diet_Quality,0.027239323843416322
Residence_Type,0.024018905693950154
Physical_Activity,0.0239951067615658
Counseling_Service_Use,0.02354159252669039
Extracurricular_Involvement,0.020681272241992846
Sleep_Quality,0.019796485765124532
Gender,0.01657184163701068
