feature,importance
stress_depression_diff,0.4022115213523134
stress_anxiety_diff,0.249671485765125
Mental_Severity_Score,0.14215302491103213
Course,0.1377662366548043
CGPA,0.11872709074733102
Semester_Credit_Load,0.06836699288256233
Age,0.06493149466192169
Relationship_Status,0.04450689501779361
Extracurricular_Involvement,0.04101690391459069
Counseling_Service_Use,0.03998865658362993
Residence_Type,0.039205293594306016
Diet_Quality,0.03675088967971529
Physical_Activity,0.034541147686832696
Sleep_Quality,0.028682384341636953
Gender,0.02096752669039146
