feature,importance
Mental_Severity_Score,0.3514161476868326
stress_depression_diff,0.3102813612099643
stress_anxiety_diff,0.14566992882562277
Semester_Credit_Load,0.10047931494661937
Age,0.09911943950177948
Course,0.08097419928825626
Relationship_Status,0.04932273131672591
Physical_Activity,0.037796040925266915
Extracurricular_Involvement,0.03550578291814942
Residence_Type,0.03500177935943059
Diet_Quality,0.032678603202846886
Counseling_Service_Use,0.02623198398576509
Sleep_Quality,0.02505516014234869
Gender,0.02101467971530244
CGPA,0.010238434163701066
