feature,importance
stress_depression_diff,0.46520240213523134
Mental_Severity_Score,0.33227913701067563
stress_anxiety_diff,0.21254804270462677
Course,0.12478558718861213
Semester_Credit_Load,0.03690413701067619
CGPA,0.03281450177935935
Extracurricular_Involvement,0.026584964412811378
Age,0.025129893238434137
Diet_Quality,0.02135209074733094
Counseling_Service_Use,0.0200738434163701
Relationship_Status,0.0197773576512455
Physical_Activity,0.01951512455516013
Sleep_Quality,0.019406806049822038
Residence_Type,0.01813434163701064
Gender,0.015615435943060479
