feature,importance
stress_depression_diff,0.5326463523131663
Mental_Severity_Score,0.35099577402135207
stress_anxiety_diff,0.17965569395017802
Age,0.020019128113878966
Counseling_Service_Use,0.018253336298932377
CGPA,0.016964412811387858
Relationship_Status,0.015718861209964387
Diet_Quality,0.01539835409252666
Semester_Credit_Load,0.014322953736654785
Extracurricular_Involvement,0.009718638790035579
Physical_Activity,0.009598532028469746
Gender,0.008016459074733098
Residence_Type,0.007893016014234849
Course,0.004620329181494674
Sleep_Quality,0.004347197508896811
