feature,importance
stress_depression_diff,0.40431427935943
Mental_Severity_Score,0.3681946174377223
stress_anxiety_diff,0.23209030249110318
Course,0.09977290925266918
CGPA,0.06424755338078299
Semester_Credit_Load,0.04738033807829188
Age,0.03479203736654799
Relationship_Status,0.024307606761565792
Extracurricular_Involvement,0.02400088967971528
Diet_Quality,0.019022686832740204
Counseling_Service_Use,0.016625222419928788
Residence_Type,0.016572731316725937
Gender,0.014456850533807837
Physical_Activity,0.013704626334519535
Sleep_Quality,0.010519572953736615
